X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39
101,91,87,77,43,80,19,81,78,78,76,66,0,73,0,82,17,63,70,0,0,0,0,0,9,71,1,50,23,83,76,47,0,75,91,0,0,72,86
77,91,85,101,94,91,0,83,83,39,85,78,0,77,0,76,1,85,76,0,0,0,0,0,3,62,2,17,76,20,80,71,0,81,81,0,0,81,77
91,94,81,80,77,52,0,77,75,0,51,76,37,71,0,84,0,81,79,0,0,3,0,0,47,78,0,62,81,0,46,80,0,41,80,0,0,82,81
88,16,55,92,93,80,0,85,78,4,72,73,77,60,0,65,2,75,82,0,0,0,0,0,76,73,0,79,83,0,87,79,0,0,66,20,0,80,74
86,0,78,90,99,81,0,74,82,65,71,57,69,0,0,76,0,86,68,0,0,0,0,30,78,37,0,83,62,0,70,79,0,0,80,81,0,57,88
84,1,84,31,98,78,2,32,95,71,0,69,75,0,0,90,1,77,80,0,0,0,0,76,16,11,0,79,72,0,85,72,0,0,77,80,0,77,67
93,0,44,0,90,82,70,88,75,69,78,77,77,0,0,68,0,93,58,0,0,11,0,80,67,25,0,76,81,0,69,74,0,0,66,86,0,77,81
48,0,0,4,91,91,105,78,85,83,82,78,78,0,0,75,0,23,69,0,0,8,0,76,71,77,32,79,82,34,83,86,0,0,62,74,0,81,89
54,0,38,83,6,75,90,81,87,70,28,50,74,0,0,70,0,0,78,0,0,0,0,80,82,75,85,74,69,88,86,68,0,38,74,85,0,73,73
94,64,75,102,0,75,97,79,88,59,56,65,74,0,0,81,0,0,10,0,0,0,0,85,77,71,75,76,0,94,38,62,0,44,71,61,0,81,67
90,85,93,87,0,76,95,72,82,70,80,76,71,0,0,82,0,10,80,0,0,4,0,89,67,79,81,80,0,71,0,45,0,71,65,72,0,53,83
76,92,86,99,0,92,88,83,78,66,71,79,76,0,0,57,0,60,81,0,0,1,0,69,79,71,76,75,1,79,0,2,0,86,72,77,0,80,82
72,89,78,92,0,93,94,57,87,39,5,78,70,0,0,75,0,66,70,0,0,0,4,85,68,77,79,77,1,75,0,10,0,81,62,85,0,83,77
0,84,94,104,0,88,91,79,79,2,69,74,80,0,0,77,0,62,75,0,0,0,0,84,0,79,82,68,1,83,0,14,0,87,32,55,0,79,46
66,89,92,94,0,78,84,82,84,46,88,67,70,0,3,45,0,79,77,0,0,0,0,80,0,78,64,82,0,70,0,53,0,74,17,33,0,0,0
82,94,67,82,0,55,88,87,56,44,91,73,52,0,17,0,0,76,83,0,0,0,5,55,3,53,71,54,0,80,0,68,0,79,72,87,0,57,0
91,87,88,0,7,84,88,5,0,61,91,43,50,0,0,0,0,82,59,0,0,0,48,84,7,27,79,47,0,79,0,76,0,66,84,70,0,81,0
99,93,84,14,1,81,91,0,0,69,88,0,71,5,27,0,0,78,75,0,2,0,73,82,5,0,84,85,0,43,0,58,0,80,65,84,0,80,0
88,16,32,92,0,84,83,0,0,76,87,32,49,2,75,0,0,75,54,0,0,0,84,80,1,0,86,82,16,81,25,0,0,78,88,84,0,67,0
76,58,87,96,0,9,70,0,0,70,81,80,0,26,83,0,0,61,70,0,0,0,84,75,6,0,76,85,77,78,80,0,0,0,73,80,0,50,0
55,96,97,90,0,0,92,10,0,75,90,82,0,40,68,0,0,51,63,0,0,0,78,64,0,27,0,81,77,81,87,0,0,60,80,80,0,11,0
89,93,98,102,0,0,90,2,0,59,81,68,0,69,66,0,0,77,84,0,0,0,73,80,0,78,0,4,77,85,77,0,0,87,15,76,0,3,0
83,87,81,93,0,0,101,12,0,56,61,53,0,74,73,0,0,76,77,0,0,0,77,73,0,76,0,56,78,83,82,0,0,87,74,58,0,0,4
21,99,96,87,0,0,81,23,0,73,82,72,0,64,68,0,0,86,74,0,0,0,90,85,0,79,0,75,59,53,72,0,0,77,67,70,0,0,1
79,91,86,0,0,87,96,0,45,71,74,74,55,75,69,0,0,61,79,0,0,0,81,83,0,70,0,0,77,47,86,0,0,75,18,68,0,0,0
77,95,88,0,0,99,78,0,85,60,8,68,76,75,72,0,0,0,65,0,0,0,79,87,0,72,0,24,83,58,86,71,0,76,0,44,0,0,1
88,23,98,0,0,85,91,71,88,72,2,77,74,65,57,0,0,0,61,0,0,0,83,70,0,76,0,0,70,0,74,78,0,81,0,49,24,0,0
85,1,58,0,0,91,50,75,92,69,1,70,75,79,77,0,0,0,2,0,0,0,88,83,0,81,0,0,25,0,71,77,0,85,0,78,82,0,0
67,0,92,0,5,98,0,94,78,52,1,42,73,70,66,17,0,0,0,0,0,0,81,79,0,74,0,0,0,0,77,76,0,33,0,85,88,0,0
0,8,71,0,3,90,0,75,94,0,0,69,73,77,69,76,0,0,0,0,0,0,4,54,0,78,0,0,0,0,78,70,0,75,0,75,87,0,0
0,94,86,0,5,82,0,85,88,0,0,66,77,63,73,81,0,63,0,0,0,0,0,51,0,73,0,0,33,0,73,66,0,83,0,70,84,0,0
0,106,86,0,0,98,0,90,85,54,0,80,61,79,70,79,0,80,0,0,0,0,0,89,0,72,0,0,74,0,86,68,0,81,0,65,85,0,0
0,95,81,0,0,88,0,70,86,83,0,80,64,60,48,85,0,75,0,0,0,0,49,88,0,67,1,0,79,0,82,81,0,77,0,0,77,0,0
0,86,78,0,0,93,2,82,90,86,0,73,59,71,43,80,0,86,0,0,0,0,81,43,19,77,0,0,82,44,67,68,0,74,2,0,86,0,0
0,80,91,0,1,88,5,78,90,75,0,68,0,68,49,88,0,73,0,0,0,0,82,0,0,77,0,0,73,89,85,66,0,63,0,24,67,0,4
0,37,79,0,97,69,13,85,72,72,0,10,0,69,64,68,0,80,0,0,0,0,77,0,0,72,12,0,79,78,80,74,0,73,9,87,88,1,80
0,85,82,0,71,83,0,87,88,68,0,0,17,37,67,83,0,80,0,0,0,0,82,0,0,81,86,0,79,75,84,70,0,77,0,74,76,0,95
0,84,41,0,79,93,0,20,90,79,3,0,72,64,51,76,0,86,0,0,0,0,55,0,0,68,78,0,70,77,75,77,0,86,0,85,80,0,92
0,4,0,0,96,80,0,0,77,68,0,0,76,68,62,69,0,77,0,0,0,0,84,0,0,79,79,0,81,90,72,50,0,0,66,68,82,2,82
0,0,1,43,87,86,0,0,82,84,0,11,72,70,59,80,0,65,0,0,10,0,75,1,0,78,78,0,76,64,78,65,0,0,89,69,79,2,82
72,0,0,90,97,94,0,0,81,60,0,66,75,46,1,78,0,76,31,0,6,0,79,4,0,69,81,3,71,74,80,76,0,0,67,78,62,0,89
87,1,0,93,72,84,0,0,86,80,0,81,74,73,12,78,0,51,73,0,38,0,85,1,0,79,77,67,83,76,78,76,0,0,89,85,79,1,81
86,0,15,95,82,80,0,0,87,76,0,73,67,74,0,84,0,77,48,0,27,0,87,1,0,38,79,79,71,90,5,69,0,0,81,72,38,0,79
94,27,51,89,80,83,0,0,86,79,28,82,76,54,0,77,0,73,51,0,17,0,49,0,0,62,79,79,83,79,0,52,0,0,69,83,74,0,88
